ID1---ID2	neutral.vs.positive	positive.vs.neutral	neutral.vs.negative	negative.vs.neutral	negative.vs.positive	positive.vs.negative
4NQO.vs.4NQO	0	0	0	0	0	0
4NQO.vs.BLMC	0	35	12	26	0	8
4NQO.vs.CSPL	0	6	12	21	0	6
4NQO.vs.DMSO	0	4	16	22	0	10
4NQO.vs.DXRB	6	10	16	24	0	3
4NQO.vs.HYDX	4	23	13	30	1	5
4NQO.vs.MMS	1	4	49	20	3	1
4NQO.vs.ZEOC	0	19	12	21	0	2
BLMC.vs.4NQO	35	0	26	12	8	0
BLMC.vs.BLMC	0	0	0	0	0	0
BLMC.vs.CSPL	9	0	15	11	1	0
BLMC.vs.DMSO	7	0	21	12	1	0
BLMC.vs.DXRB	14	0	20	15	1	0
BLMC.vs.HYDX	3	0	15	18	0	0
BLMC.vs.MMS	42	0	53	13	7	0
BLMC.vs.ZEOC	0	0	12	11	1	0
CSPL.vs.4NQO	6	0	21	12	6	0
CSPL.vs.BLMC	0	9	11	15	0	1
CSPL.vs.CSPL	0	0	0	0	0	0
CSPL.vs.DMSO	0	0	14	9	0	1
CSPL.vs.DXRB	5	2	12	16	0	0
CSPL.vs.HYDX	6	10	16	26	0	0
CSPL.vs.MMS	10	0	49	13	6	0
CSPL.vs.ZEOC	0	7	11	20	0	0
DMSO.vs.4NQO	4	0	22	16	10	0
DMSO.vs.BLMC	0	7	12	21	0	1
DMSO.vs.CSPL	0	0	9	14	1	0
DMSO.vs.DMSO	0	0	0	0	0	0
DMSO.vs.DXRB	6	1	13	20	2	0
DMSO.vs.HYDX	3	9	16	31	3	0
DMSO.vs.MMS	6	0	45	12	13	0
DMSO.vs.ZEOC	0	2	14	22	0	0
DXRB.vs.4NQO	10	6	24	16	3	0
DXRB.vs.BLMC	0	14	15	20	0	1
DXRB.vs.CSPL	2	5	16	12	0	0
DXRB.vs.DMSO	1	6	20	13	0	2
DXRB.vs.DXRB	0	0	0	0	0	0
DXRB.vs.HYDX	6	14	15	20	0	0
DXRB.vs.MMS	12	2	44	14	5	4
DXRB.vs.ZEOC	0	7	13	18	0	0
HYDX.vs.4NQO	23	4	30	13	5	1
HYDX.vs.BLMC	0	3	18	15	0	0
HYDX.vs.CSPL	10	6	26	16	0	0
HYDX.vs.DMSO	9	3	31	16	0	3
HYDX.vs.DXRB	14	6	20	15	0	0
HYDX.vs.HYDX	0	0	0	0	0	0
HYDX.vs.MMS	20	1	53	8	5	2
HYDX.vs.ZEOC	0	4	16	16	0	1
MMS.vs.4NQO	4	1	20	49	1	3
MMS.vs.BLMC	0	42	13	53	0	7
MMS.vs.CSPL	0	10	13	49	0	6
MMS.vs.DMSO	0	6	12	45	0	13
MMS.vs.DXRB	2	12	14	44	4	5
MMS.vs.HYDX	1	20	8	53	2	5
MMS.vs.MMS	0	0	0	0	0	0
MMS.vs.ZEOC	0	24	12	48	0	2
ZEOC.vs.4NQO	19	0	21	12	2	0
ZEOC.vs.BLMC	0	0	11	12	0	1
ZEOC.vs.CSPL	7	0	20	11	0	0
ZEOC.vs.DMSO	2	0	22	14	0	0
ZEOC.vs.DXRB	7	0	18	13	0	0
ZEOC.vs.HYDX	4	0	16	16	1	0
ZEOC.vs.MMS	24	0	48	12	2	0
ZEOC.vs.ZEOC	0	0	0	0	0	0
